Device Type,Brand Name,Marketing Name,OS,OS Version,Device Model,User Given Name,Device Last Location,Gaia ID
PC,,,Mac,10.15,,,"Country ISO: US
Last Activity Time: 2026-07-18 18:43:30 UTC",846345085753
PC,,,Linux,,,,"Country ISO: US
Last Activity Time: 2026-07-19 19:57:55 UTC",846345085753
PC,,,Chrome OS,14541.0.0,,,"Country ISO: US
Last Activity Time: 2026-07-19 23:00:59 UTC",846345085753
