total 0
dr-xr-xr-x 218 root             root               0 Aug 10 05:53 .
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 47
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 470
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 471
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 48
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 49
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 5
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 50
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 51
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 517
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 52
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 53
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 54
dr-xr-xr-x   9 polkitd          polkitd            0 Aug 10 05:53 542
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 55
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 56
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 570
dr-xr-xr-x   9 god              god                0 Sep 12 17:46 572
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 58
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 6
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 60
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 61
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 62
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 63
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 64
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 65
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 66
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 67
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 7
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 70
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 71
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 72
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 73
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 74
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 75
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 76
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 77
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 78
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 79
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 80
dr-xr-xr-x   9 god              god                0 Aug 10 05:57 807
dr-xr-xr-x   9 god              god                0 Sep 12 17:46 809
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 81
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 82
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 85
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 86
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 87
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 88
dr-xr-xr-x   9 god              god                0 Aug 10 06:00 880
dr-xr-xr-x   9 god              god                0 Sep 12 17:46 882
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 89
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 90
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 91
dr-xr-xr-x   9 root             root               0 Sep 12 16:13 9173
dr-xr-xr-x   9 systemd-timesync systemd-timesync   0 Sep 12 16:13 9174
dr-xr-xr-x   9 god              god                0 Sep 12 17:18 9194
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 92
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 93
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 94
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 95
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 96
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 97
dr-xr-xr-x   9 root             root               0 Sep 12 13:07 972
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 98
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 99
dr-xr-xr-x   9 root             root               0 Sep 12 12:48 996
dr-xr-xr-x  11 root             root               0 Aug 10 05:53 asound
-r--r--r--   1 root             root               0 Sep 12 17:46 buddyinfo
dr-xr-xr-x   4 root             root               0 Sep 12 17:46 bus
-r--r--r--   1 root             root               0 Aug 10 05:53 cgroups
-r--r--r--   1 root             root             120 Aug 10 05:53 cmdline
-r--r--r--   1 root             root             28K Sep 12 17:46 config.gz
-r--r--r--   1 root             root               0 Sep 12 17:46 consoles
-r--r--r--   1 root             root               0 Aug 10 05:53 cpuinfo
-r--r--r--   1 root             root               0 Sep 12 17:46 crypto
lrwxrwxrwx   1 root             root              29 Aug 10 05:53 device-tree -> /sys/firmware/devicetree/base
-r--r--r--   1 root             root               0 Aug 10 05:53 devices
-r--r--r--   1 root             root               0 Sep 12 17:46 diskstats
dr-xr-xr-x   3 root             root               0 Sep 12 17:46 driver
-r--r--r--   1 root             root               0 Sep 12 17:46 execdomains
-r--r--r--   1 root             root               0 Sep 12 17:46 filesystems
dr-xr-xr-x   8 root             root               0 Sep 12 17:46 fs
-r--r--r--   1 root             root               0 Sep 12 17:46 interrupts
-r--r--r--   1 root             root               0 Sep 12 17:46 iomem
-r--r--r--   1 root             root               0 Sep 12 17:46 ioports
dr-xr-xr-x  29 root             root               0 Sep 12 17:46 irq
-r--r--r--   1 root             root               0 Sep 12 17:46 kallsyms
-r--r--r--   1 root             root               0 Sep 12 17:46 key-users
-r--r--r--   1 root             root               0 Sep 12 17:46 keys
-r--------   1 root             root               0 Sep 12 17:46 kmsg
-r--------   1 root             root               0 Sep 12 17:46 kpagecgroup
-r--------   1 root             root               0 Sep 12 17:46 kpagecount
-r--------   1 root             root               0 Sep 12 17:46 kpageflags
-r--r--r--   1 root             root               0 Sep 12 17:46 loadavg
-r--r--r--   1 root             root               0 Sep 12 17:46 locks
-r--r--r--   1 root             root               0 Aug 10 05:53 meminfo
-r--r--r--   1 root             root               0 Sep 12 17:46 misc
lrwxrwxrwx   1 root             root              11 Sep 12 17:46 mounts -> self/mounts
-r--r--r--   1 root             root               0 Sep 12 17:46 mtd
lrwxrwxrwx   1 root             root               8 Aug 10 05:53 net -> self/net
-r--------   1 root             root               0 Sep 12 17:46 pagetypeinfo
-r--r--r--   1 root             root               0 Sep 12 17:46 partitions
dr-xr-xr-x   5 root             root               0 Aug 10 05:53 pressure
dr-xr-xr-x   4 root             root               0 Sep 12 17:46 scsi
lrwxrwxrwx   1 root             root               0 Aug 10 05:53 self -> 13786
-r--------   1 root             root               0 Sep 12 17:46 slabinfo
-r--r--r--   1 root             root               0 Sep 12 17:46 softirqs
-r--r--r--   1 root             root               0 Sep 12 17:46 stat
-r--r--r--   1 root             root               0 Aug 10 05:53 swaps
dr-xr-xr-x   1 root             root               0 Aug 10 05:53 sys
--w-------   1 root             root               0 Sep 12 17:46 sysrq-trigger
dr-xr-xr-x   5 root             root               0 Sep 12 17:46 sysvipc
lrwxrwxrwx   1 root             root               0 Aug 10 05:53 thread-self -> 13786/task/13786
-r--------   1 root             root               0 Sep 12 17:46 timer_list
dr-xr-xr-x   6 root             root               0 Aug 10 05:53 tty
-r--r--r--   1 root             root               0 Sep 12 17:46 uptime
-r--r--r--   1 root             root               0 Sep 12 17:46 version
-r--------   1 root             root               0 Sep 12 17:46 vmallocinfo
-r--r--r--   1 root             root               0 Sep 12 17:46 vmstat
-r--r--r--   1 root             root               0 Sep 12 17:46 zoneinfo
